CITY,STATE,TOTAL_SALES,TOTAL_PROFIT
Springfield,Ohio,5613.17,-1420.16
Lakeland,Florida,5606.89,-188.64
Jacksonville,North Carolina,5579.86,121.83
Tulsa,Oklahoma,5556.97,1506.94
Franklin,Massachusetts,5534.56,464.63
Alexandria,Virginia,5519.57,318.62
Clinton,Maryland,5514.25,1274.24
Mobile,Alabama,5462.99,2175.83
Lafayette,Louisiana,5405.75,1042.29
Madison,Wisconsin,5346.79,1123.66
Midland,Michigan,5291.51,2293.68
Tampa,Florida,5196.08,-325.24
Columbia,Tennessee,5162.77,-664.26
Richmond,Virginia,5141.26,1409.74
Concord,North Carolina,5111.84,-1788.69
Brentwood,California,5090.11,1216.81
Louisville,Colorado,5070.42,-3406.21
Morristown,New Jersey,5033.1,1838.23
Fairfield,Connecticut,4935.58,1221.62
Long Beach,California,4933.83,746.4
Fort Lauderdale,Florida,4929.53,-161.36
Round Rock,Texas,4854.05,-1183.43
Lowell,Massachusetts,4837.93,1312.57
Franklin,Wisconsin,4774.25,1292.78
Jamestown,New York,4708.79,1285.77
Great Falls,Montana,4605.58,1582.71
Florence,Kentucky,4559.8,1837.35
Plainfield,New Jersey,4526.85,1235.67
Raleigh,North Carolina,4507.54,472.59
Toledo,Ohio,4466.05,-340
Dover,New Hampshire,4428.95,905.36
Harrisonburg,Virginia,4388.71,889.52
Santa Barbara,California,4289.23,457.29
Lakeville,Minnesota,4260.95,1346.6
Gilbert,Arizona,4172.38,138.25
Pasadena,California,4112.69,429.98
Aurora,Colorado,4083.51,-797.02
Portland,Oregon,4051.87,9.76
Watertown,New York,4045,907.01
Mesa,Arizona,4037.74,-559.23
Cranston,Rhode Island,4024.92,637.5
Knoxville,Tennessee,3928.17,-1165.08
Kenosha,Wisconsin,3906.73,1028.07
Parma,Ohio,3879.76,31.06
Oceanside,New York,3851.13,655.17
Westminster,California,3826.65,763.69
Bellingham,Washington,3790.24,610.59
Amarillo,Texas,3773.06,-387.97
Fayetteville,Arkansas,3742.81,1691.94
Montgomery,Alabama,3722.73,834.66
Colorado Springs,Colorado,3694.01,-956.68
Little Rock,Arkansas,3560.35,1154.67
El Paso,Texas,3546.06,-179.9
Plano,Texas,3530.37,-383.06
Inglewood,California,3479.33,1026.7
Des Moines,Washington,3454.44,1250.34
Decatur,Alabama,3374.82,1000.09
Santa Ana,California,3366.31,836.75
Newport News,Virginia,3321.95,1197.05
Burbank,California,3247.16,764.53
Fayetteville,North Carolina,3183.12,126.73
Troy,Ohio,3180.54,-874.59
Decatur,Illinois,3169.47,-311.03
Rockford,Illinois,3166.23,-1149.51
Torrance,California,3132.27,545.15
Noblesville,Indiana,3091.18,353.31
Fairfield,Ohio,3077.7,-129.29
Waynesboro,Virginia,3058.77,603.39
Marion,Ohio,3010.99,-544.65
Orem,Utah,2994.09,514.63
Columbia,Missouri,2990.04,1106.77
Marietta,Georgia,2938.62,512.15
Glendale,Arizona,2917.87,182.86
Jonesboro,Arkansas,2915.32,801.11
Redlands,California,2891.02,454.16
Washington,District of Columbia,2865.02,1059.59
Concord,New Hampshire,2827.63,787.63
Provo,Utah,2761.23,388.57
Akron,Ohio,2729.99,-186.64
Hampton,Virginia,2722.26,953.83
Concord,California,2602.93,282.42
Hempstead,New York,2589.59,629.06
Beverly,Massachusetts,2583.19,654.92
Sparks,Nevada,2561.96,228.54
Huntington Beach,California,2527.82,880.04
Edmonds,Washington,2523.69,634.25
Huntsville,Alabama,2484.37,1005.26
Medina,Ohio,2477.72,-1343.04
Pasadena,Texas,2477.46,-340.11
Broken Arrow,Oklahoma,2439.53,575.52
Warwick,Rhode Island,2426.84,1063.8
Independence,Missouri,2417.37,975.66
Greensboro,North Carolina,2406.78,-122.95
Smyrna,Georgia,2390.31,807.33
Dublin,Ohio,2379.16,-351.3
Hialeah,Florida,2338.95,-179.23
Paterson,New Jersey,2243.21,740.49
Albuquerque,New Mexico,2220.16,634.09
Clarksville,Tennessee,2217.73,-1055.35
Roseville,Minnesota,2215.52,667.53
Pasco,Washington,2201.11,357.52
Carrollton,Texas,2200.65,-470.21
Pleasant Grove,Utah,2138.18,580.65
Gresham,Oregon,2133.42,150.86
Manchester,Connecticut,2126.28,600.51
Mount Vernon,New York,2119.63,662.51
Greenville,North Carolina,2117.83,-548.99
Jackson,Tennessee,2117.21,-43.96
San Gabriel,California,2061.01,290.9
Westland,Michigan,2057.98,389.6
Chico,California,2050.18,205.13
Salem,Virginia,2039.55,533.03
Highland Park,Illinois,2035.1,-169.94
Spokane,Washington,2027.92,172.23
Lorain,Ohio,2015.11,-632.92
Des Moines,Iowa,2008.84,360.4
Florence,Alabama,1997.35,248.66
Sandy Springs,Georgia,1997.03,520.59
Chester,Pennsylvania,1968.48,48.36
Redondo Beach,California,1959.8,176.43
Rochester,Minnesota,1957.4,520.2
Riverside,California,1944.25,374.73
Apple Valley,California,1915.08,283.62
Belleville,New Jersey,1891.6,283.65
Henderson,Nevada,1888.06,393.04
Bowling Green,Ohio,1865.57,149.94
Las Vegas,Nevada,1834.02,332.44
Georgetown,Kentucky,1786.42,402.76
Auburn,Alabama,1766.83,452.61
Trenton,Michigan,1765.2,652.1
Monroe,Louisiana,1757.37,555.8
Lakewood,Ohio,1756.32,-336.61
Evanston,Illinois,1753.8,411.88
Orlando,Florida,1740.08,377.73
Hattiesburg,Mississippi,1722.84,582.07
Muskogee,Oklahoma,1721.7,442.6
Athens,Georgia,1720.81,479.32
Perth Amboy,New Jersey,1717.08,633.64
Pembroke Pines,Florida,1714.38,-72.45
Saint Petersburg,Florida,1690.79,151.98
Bethlehem,Pennsylvania,1689.63,-1003.1
Dubuque,Iowa,1687.3,477.67
Pueblo,Colorado,1686.94,-900.97
Appleton,Wisconsin,1671.31,554.77
Greenwood,Indiana,1665.05,471.73
Eau Claire,Wisconsin,1645.65,427.5
Lake Forest,California,1625.54,327.53
Cincinnati,Ohio,1611.98,175.34
Lansing,Michigan,1610.29,412.87
Dearborn,Michigan,1603.31,467.39
Cheyenne,Wyoming,1603.14,100.2
Suffolk,Virginia,1597.9,389.81
Lakewood,California,1583.68,43.96
Passaic,New Jersey,1562.09,356.82
Oxnard,California,1558.1,346.46
Meriden,Connecticut,1550.68,470.22
Lawrence,Indiana,1545.13,532.74
Pharr,Texas,1540.71,-237.55
Miramar,Florida,1531.19,32.28
Lehi,Utah,1516.73,451.66
Costa Mesa,California,1497.67,297.21
Des Plaines,Illinois,1493.21,-236.77
Pomona,California,1482.5,150.3
Asheville,North Carolina,1475.38,77.51
Fairfield,California,1470.58,117.98
Camarillo,California,1467.52,158.8
Scottsdale,Arizona,1466.31,-89.49
Eugene,Oregon,1465.03,134.04
Hackensack,New Jersey,1456.16,451.25
Southaven,Mississippi,1455.39,412.89
Plantation,Florida,1436.84,12.04
Bossier City,Louisiana,1417.18,336.96
Tamarac,Florida,1413.51,-351.9
Salem,Oregon,1404.7,-262.33
Tigard,Oregon,1393.78,-216.29
Saint Charles,Illinois,1388.71,216.64
Auburn,New York,1384.16,280.8
Bakersfield,California,1377.29,187.92
Norman,Oklahoma,1351.33,269.53
Kent,Washington,1351.25,603.1
Pocatello,Idaho,1344.94,181.36
Peoria,Arizona,1341.35,-55.11
Saint Cloud,Minnesota,1331.82,469.61
Troy,New York,1326.56,330.44
Waterbury,Connecticut,1326.06,338.94
Carol Stream,Illinois,1305.81,-39.87
Superior,Wisconsin,1299.73,514.08
Brownsville,Texas,1292.23,202.07
Richardson,Texas,1288.46,-24.49
Naperville,Illinois,1288.3,-146.53
Moreno Valley,California,1262.47,353.63
New Rochelle,New York,1255.23,368.41
Renton,Washington,1242.63,185.43
South Bend,Indiana,1238.33,279.55
Stockton,California,1227.6,339.53
Vallejo,California,1221.41,336.04
Hesperia,California,1213.17,98.53
Monroe,North Carolina,1213.06,140.83
Lancaster,Pennsylvania,1211.4,-168.89
Wheeling,West Virginia,1209.82,185.92
Bangor,Maine,1164.45,422.22
Danville,California,1158.88,282.44
Middletown,Connecticut,1154.61,157.62
Twin Falls,Idaho,1148.81,266.16
Sioux Falls,South Dakota,1137.42,343.43
Fremont,Nebraska,1119.01,179.47
Rio Rancho,New Mexico,1114.19,119.59
Boise,Idaho,1094.47,221.94
Chandler,Arizona,1076.75,81.46
Hollywood,Florida,1070.47,108.2
Tempe,Arizona,1070.3,95.45
Parker,Colorado,1067.94,-164.19
Florence,South Carolina,1064.57,82.95
Lawton,Oklahoma,1057.49,235.51
Dearborn Heights,Michigan,1051.57,140.89
Redmond,Oregon,1043.03,-174.45
Chula Vista,California,1041.62,248.43
Laredo,Texas,1024.34,-54.61
La Porte,Indiana,1021.34,224.51
Olympia,Washington,1020.45,139.63
Grand Prairie,Texas,1012.49,-85.23
Chattanooga,Tennessee,988.8,27.19
San Bernardino,California,979.3,69.98
Odessa,Texas,976.12,-69.71
Bloomington,Illinois,963.94,-432.13
Milford,Connecticut,961.74,319.05
Edmond,Oklahoma,959.55,243.1
Franklin,Tennessee,948.23,-92.54
Avondale,Arizona,946.81,76.17
Quincy,Massachusetts,946.18,297.99
Fort Collins,Colorado,935.25,-252.69
Fargo,North Dakota,919.91,230.15
Longmont,Colorado,915.09,34.83
Apopka,Florida,904.55,54.36
Olathe,Kansas,895.79,207.41
Gastonia,North Carolina,895.06,-14.74
Deltona,Florida,893.24,122.13
Elmhurst,Illinois,891.63,-212.13
Ann Arbor,Michigan,889.27,228.92
Maple Grove,Minnesota,882.87,385.01
Durham,North Carolina,879.96,116.87
League City,Texas,875.37,-31.35
Reading,Pennsylvania,873.71,-268.76
Mcallen,Texas,866.72,-163.87
El Cajon,California,865.62,52.69
Woodstock,Illinois,857.25,-24.89
Allentown,Pennsylvania,853.25,-226.45
Smyrna,Tennessee,848.58,19.37
Yuma,Arizona,840.87,-465.99
Revere,Massachusetts,833.26,258.84
Buffalo Grove,Illinois,831.4,-89.65
La Crosse,Wisconsin,830.41,272.08
Wichita,Kansas,825.27,323.93
Coral Springs,Florida,824.99,18.56
Canton,Michigan,818.13,149.28
York,Pennsylvania,817.98,-102.17
Bristol,Connecticut,814.58,208.16
Temecula,California,808.67,101.89
Salt Lake City,Utah,802.78,329.26
Broomfield,Colorado,793.5,62.45
Texas City,Texas,790.97,20.22
Mishawaka,Indiana,776.24,96.59
Mission Viejo,California,775.99,151.06
Johnson City,Tennessee,765.85,11.86
Thornton,Colorado,765.25,140.84
Kissimmee,Florida,751.98,84.6
Wilmington,North Carolina,743.16,172.63
Wheeling,Illinois,737.14,-293.32
Port Arthur,Texas,737.05,105.78
Roseville,California,734.78,316.95
Salinas,California,728.89,270.52
Farmington,New Mexico,718.72,169.41
Saint Peters,Missouri,697.16,146.4
Mentor,Ohio,693.13,-123.27
Vancouver,Washington,686.84,75.45
Park Ridge,Illinois,685,-238.45
Utica,New York,655.04,188.56
Texarkana,Arkansas,654.24,163.37
San Angelo,Texas,650.64,-58.55
Vineland,New Jersey,647.97,62.25
Reno,Nevada,644.06,115.05
Roseville,Michigan,638.33,268.91
Sunnyvale,California,636.21,107.51
Bryan,Texas,616.66,-213.71
Woodbury,Minnesota,607.65,196.1
Overland Park,Kansas,606.91,203.52
Waco,Texas,606.11,-520.1
Irving,Texas,605.5,-100.51
Bloomington,Indiana,603.8,182.77
Lubbock,Texas,592.56,147.14
Encinitas,California,591.98,71.06
Oak Park,Michigan,580.86,151.02
Skokie,Illinois,568.83,-346.87
Mansfield,Texas,558.88,-66.79
Lake Charles,Louisiana,547.41,241.26
Mount Pleasant,South Carolina,545.94,87.35
Morgan Hill,California,545.01,7.85
Moorhead,Minnesota,543.86,101.41
Rome,New York,534.85,154.21
Green Bay,Wisconsin,527.32,228.48
Grand Rapids,Michigan,526.13,233.92
Hoover,Alabama,525.85,18.72
Freeport,New York,523.33,107.36
Westfield,New Jersey,519.72,153.18
Cary,North Carolina,505.21,54.04
Arvada,Colorado,503.4,59.86
Coon Rapids,Minnesota,503.13,136.45
Cambridge,Massachusetts,502.09,173.73
Peoria,Illinois,501.48,-72.76
Oceanside,California,499.61,117.51
Pearland,Texas,495,39.41
Lebanon,Tennessee,488.9,83.81
Missoula,Montana,487.98,152.5
Murrieta,California,484.65,92.08
Lancaster,California,477.44,79.44
Beaumont,Texas,472.12,59.12
Harlingen,Texas,471.4,18.13
Rockville,Maryland,469.77,133.21
Boynton Beach,Florida,469.59,50.66
Caldwell,Idaho,455.63,58.7
Manteca,California,452.18,172.24
Dover,Delaware,449.12,116.13
Whittier,California,444.77,44.48
Helena,Montana,443.84,74.62
Bristol,Tennessee,436.6,-126.52
Andover,Massachusetts,435.85,124.19
Warner Robins,Georgia,434.8,53.69
Vacaville,California,423.28,110.05
Carlsbad,New Mexico,419.34,157.77
Norwich,Connecticut,414.04,164.09
Covington,Washington,413.68,115.11
Summerville,South Carolina,406.94,196.91
Gaithersburg,Maryland,405.92,105.54
Saginaw,Michigan,395.86,77.18
Lincoln Park,Michigan,387.6,68.37
East Orange,New Jersey,377.27,174.62
Wilson,North Carolina,368.73,-14.34
La Mesa,California,367.53,114.39
Normal,Illinois,366.74,-110.02
Macon,Georgia,364.01,144.85
Marion,Iowa,358.36,164.29
Taylor,Michigan,353.7,44.87
Tyler,Texas,347.21,-443.71
Kent,Ohio,346.3,-11.3
Orland Park,Illinois,339.96,67.99
Murfreesboro,Tennessee,337.33,15.69
Clifton,New Jersey,336.82,98.59
Redding,California,333.58,25.02
Quincy,Illinois,330.28,49.1
Meridian,Idaho,329.05,95.21
Hamilton,Ohio,328.22,-9.39
Modesto,California,326.15,19.94
Oswego,Illinois,321.98,-536.13
Hendersonville,Tennessee,319.54,-45.39
Visalia,California,318.78,88.05
Wausau,Wisconsin,317.48,90.43
Garden City,Kansas,312.38,90.63
West Jordan,Utah,311.85,102.67
Holyoke,Massachusetts,301.96,60.39
Conway,Arkansas,301.96,45.29
College Station,Texas,291.04,-117.62
Laguna Niguel,California,290.98,41.98
Allen,Texas,290.21,-39.88
Woodstock,Georgia,286.65,104.88
Saint Louis,Missouri,285.96,98.55
North Charleston,South Carolina,284.25,9.67
Lake Elsinore,California,283.92,17.75
Ontario,California,283.92,-46.14
Logan,Utah,280.28,46.96
Cedar Rapids,Iowa,278.4,80.74
Palm Coast,Florida,274.43,17.66
Manhattan,Kansas,273.96,10.96
Daytona Beach,Florida,272.33,-52.33
Saint Charles,Missouri,270.94,94.84
Haltom City,Texas,269.33,51.96
East Point,Georgia,268.4,102.01
Woodland,California,264.66,33.38
Murray,Kentucky,264.62,94.47
Draper,Utah,263.65,92.73
West Allis,Wisconsin,250.48,28.37
Port Saint Lucie,Florida,248.95,4.45
Hot Springs,Arkansas,245.83,62.08
Delray Beach,Florida,242.54,29.05
Kirkwood,Missouri,241.34,47.13
Thousand Oaks,California,238.8,99.91
New Bedford,Massachusetts,235.97,50.49
Rancho Cucamonga,California,231.85,73.74
Malden,Massachusetts,228.38,31.17
Bedford,Texas,226.26,10.62
Sanford,Florida,225.55,-11.83
Santa Clara,California,222.19,76
Corpus Christi,Texas,220.54,-43.73
Bolingbrook,Illinois,218.31,-4.66
Leominster,Massachusetts,217.49,79.5
Freeport,Illinois,215.82,-127.45
Eagan,Minnesota,214.28,87.03
Pine Bluff,Arkansas,212.91,70.2
Bowling Green,Kentucky,211.81,67.12
Orange,New Jersey,211.11,66.57
New Albany,Indiana,209.55,73.35
Marlborough,Massachusetts,206.64,67.61
Niagara Falls,New York,199.84,59.24
Woonsocket,Rhode Island,195.55,78.68
Saint Paul,Minnesota,192.83,24.88
Bayonne,New Jersey,183.4,79.4
Tuscaloosa,Alabama,175.7,51.01
Elkhart,Indiana,171.43,16.67
Gulfport,Mississippi,166.5,77.58
Gladstone,Missouri,164.34,52.59
Coachella,California,163.55,47.17
Glenview,Illinois,158.38,13.86
Rapid City,South Dakota,152.64,44.77
Laurel,Maryland,152.59,46.17
Champaign,Illinois,151.96,-182.35
Thomasville,North Carolina,151.29,33.39
Urbandale,Iowa,149.12,57.72
Commerce City,Colorado,146.35,-32.93
Murray,Utah,146.32,37.06
Pico Rivera,California,145.9,62.74
Cottage Grove,Minnesota,144.36,54.8
The Colony,Texas,142.16,31.66
West Palm Beach,Florida,141.33,31.61
Apple Valley,Minnesota,137.94,8.97
Holland,Michigan,137.86,66.66
Lodi,California,136.98,44.49
Coppell,Texas,135.94,41.49
Homestead,Florida,132.55,22.33
Rochester Hills,Michigan,132.52,54.33
Citrus Heights,California,129.39,54.34
Englewood,Colorado,124.06,13.75
Grove City,Ohio,123.59,13.2
Cedar Hill,Texas,122.38,42.83
Longview,Washington,119.21,38.9
Palatine,Illinois,116.31,23.26
Santa Maria,California,115.44,30.01
Linden,New Jersey,115.36,49.6
Conroe,Texas,111.67,6.98
Clovis,New Mexico,111.42,11.64
Sterling Heights,Michigan,110.04,33.07
San Marcos,Texas,108.44,-19.34
Lewiston,Maine,106.08,32.27
Bellevue,Washington,103.62,37.05
Charlottesville,Virginia,102.61,22.63
Marysville,Washington,102.18,3.32
Santa Fe,New Mexico,100.92,20.69
Las Cruces,New Mexico,98.77,43.94
Frankfort,Illinois,97.63,-26.06
Melbourne,Florida,95.62,9.56
Escondido,California,94.55,27.75
Mason,Ohio,94.26,-4.24
Pompano Beach,Florida,90.44,15.01
Medford,Oregon,90.22,19.7
San Clemente,California,90.06,42.54
Kenner,Louisiana,89.32,19.8
Bartlett,Tennessee,88.96,10.01
Edinburg,Texas,88.28,27.81
Hillsboro,Oregon,87.84,1.55
Jefferson City,Missouri,86.62,8.66
New Castle,Indiana,84.61,23.08
Sheboygan,Wisconsin,79.74,34.34
Sierra Vista,Arizona,76.07,16.83
San Mateo,California,75.18,35.33
Shelton,Connecticut,73.33,21.41
Littleton,Colorado,72.29,-98.8
Owensboro,Kentucky,71.18,27.64
Garland,Texas,67.7,-32.37
Coral Gables,Florida,64.25,22.36
Boca Raton,Florida,63.01,-22.65
Frisco,Texas,57.5,-18.8
Burlington,Iowa,57.43,26.67
Lindenhurst,New York,55.48,26.63
Redmond,Washington,55.23,20.73
Waukesha,Wisconsin,54.5,14.17
Bridgeton,New Jersey,52.41,3.44
Mesquite,Texas,52.15,-87.62
Yucaipa,California,50.8,13.21
La Quinta,California,46.32,18.06
Hagerstown,Maryland,43.8,20.59
Bozeman,Montana,43.66,20.81
Danville,Illinois,43.37,-69.4
Redwood City,California,41.9,14.14
Grapevine,Texas,41.53,8.77
Hickory,North Carolina,40.76,-1.1
Rogers,Arkansas,40.41,18.59
Nashua,New Hampshire,35.94,13.51
Royal Oak,Michigan,35.34,16.96
Goldsboro,North Carolina,34.94,3.06
Davis,California,32.4,15.55
La Porte,Texas,30.39,-32.53
Greeley,Colorado,30.35,10.36
Waterloo,Iowa,30.32,11.82
Cuyahoga Falls,Ohio,29.09,-12.58
Montebello,California,27.88,3.9
Danbury,Connecticut,27.46,9.89
Aberdeen,South Dakota,25.5,6.63
Atlantic City,New Jersey,23.36,11.68
Bullhead City,Arizona,22.29,6.72
Tinley Park,Illinois,22.29,-8.92
North Miami,Florida,22.13,3.08
Dublin,California,22,1.38
Loveland,Colorado,20.96,4.48
Altoona,Pennsylvania,20.45,-1.18
Antioch,California,19.44,9.33
Norfolk,Nebraska,17.43,8.02
Mount Pleasant,Michigan,17.14,6.17
Portage,Indiana,16.28,6.51
Grand Island,Nebraska,15.96,7.98
Margate,Florida,15.55,2.33
New Brunswick,New Jersey,14.77,7.16
Arlington Heights,Illinois,14.11,1.23
Chapel Hill,North Carolina,14.02,4.73
Rock Hill,South Carolina,11.85,3.79
Baytown,Texas,10.37,3.63
Oak Park,Illinois,10.19,1.02
Iowa City,Iowa,9.99,4.5
Lewiston,Idaho,9.58,3.35
Romeoville,Illinois,8.95,-14.77
Billings,Montana,8.29,2.69
Port Orange,Florida,7.82,2.93
Deer Park,Texas,6.92,-10.39
Missouri City,Texas,6.37,-9.56
Keller,Texas,6,2.1
Layton,Utah,4.96,2.33
Springdale,Arkansas,4.3,1.42
Auburn,Washington,4.18,1.5
Everett,Washington,3.86,1.4
San Luis Obispo,California,3.62,1.19
Ormond Beach,Florida,2.81,-1.97
Pensacola,Florida,2.21,-1.48
Jupiter,Florida,2.06,.15
Elyria,Ohio,1.82,-1.4
Abilene,Texas,1.39,-3.76
